Year,State,Plant name,Plant-level sector,eGRID subregion name,Plant FIPS state code,Plant FIPS county code,Plant county name,latitude,longitude,Number of units,Number of generators,Primary fuel source,Plant capacity factor,Plant nameplate capacity (MW),Nonbaseload Factor,CHP plant useful thermal output (MMBtu),CHP plant power to heat ratio,CHP plant electric allocation factor,Plant annual heat input from combustion (MMBtu),Plant total annual heat input (MMBtu),Plant annual net generation (MWh),Plant annual CO2 emissions (tons),Plant annual CO2 equivalent emissions (tons),Plant annual CO2 total output emission rate (lb/MWh),Plant annual CO2 equivalent total output emission rate (lb/MWh),Plant annual CO2 input emission rate (lb/MMBtu),Plant annual CO2 equivalent input emission rate (lb/MMBtu),Plant nominal heat rate (Btu/kWh),Plant annual coal net generation (MWh),Plant annual oil net generation (MWh),Plant annual gas net generation (MWh)
2022.0,CA,Scattergood Generating Station,Electric Utility,WECC California,06,037,Los Angeles,33.918151,-118.427648,5.0,6.0,GAS,0.24604,876.0,0.923260348686085,,,,14356018.704,14356018.704,1888081.0,837569.727,838436.516,887.218,888.136,116.686,116.806,7603.497257,0.0,0.0,1888081.0
2022.0,CA,SCC - San Jose,IPP Non-CHP,WECC California,06,085,Santa Clara,37.35106,-121.90551,1.0,1.0,GAS,0.83961,1.0,0.0,,,,,55432.0,7355.0,,,,,,,,0.0,0.0,7355.0
2022.0,CA,SCU000 El Camino Real Fuel Cell,IPP Non-CHP,WECC California,06,085,Santa Clara,37.34994,-121.94064,1.0,1.0,GAS,0.73843,1.5,0.102612886859462,,,,,69639.0,9703.0,,,,,,,,0.0,0.0,9703.0
2022.0,CA,SEGS IX,IPP Non-CHP,WECC California,06,071,San Bernardino,35.033,-117.338,1.0,1.0,GAS,0.15036,92.0,1.0,,,,0.0,0.0,121180.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022.0,CA,"Sentinel Energy Center, LLC",IPP Non-CHP,WECC California,06,065,Riverside,33.934167,-116.571388,8.0,8.0,GAS,0.07266,800.0,1.0,,,,5076789.032,5076789.032,509219.0,301707.048,302013.567,1184.98,1186.183,118.857,118.978,9969.755708,0.0,0.0,509219.0
2022.0,CA,Sierra Nevada Brewing Co Hybrid,Industrial CHP,WECC California,06,007,Butte,39.724167,-121.815278,3.0,3.0,GAS,0.24003,4.2,0.933291657606726,46008.0,0.655,0.466233,45542.587,53836.587,8831.0,2661.715,2664.466,602.812,603.435,116.889,117.01,7116.029183,0.0,0.0,6436.0
2022.0,CA,SJ/SC WPCP,Commercial CHP,WECC California,06,085,Santa Clara,37.4344,-121.9464,4.0,4.0,GAS,0.50766,14.0,0.487239073711676,101312.0,2.097,0.7366,506389.768,506389.768,62259.0,14010.769,14042.361,450.08,451.095,55.336,55.461,8133.599442,0.0,97.888,32167.756
2022.0,CA,Solano County Cogen Plant,Commercial CHP,WECC California,06,095,Solano,38.2494,-122.0394,3.0,3.0,GAS,0.29574,2.8,0.84042726679713,45906.4,0.539,0.418295,50741.657,50741.657,7254.0,2965.572,2968.637,817.638,818.483,116.889,117.01,6994.989905,0.0,0.0,7254.0
2022.0,CA,South Belridge Cogeneration Facility,Industrial CHP,WECC California,06,029,Kern,35.438611,-119.7075,3.0,3.0,GAS,0.58343,94.2,0.360955589729421,2173569.6,0.756,0.501982,2797311.104,2797311.104,481439.001,163487.529,163656.506,679.162,679.864,116.889,117.01,5810.312634,0.0,0.0,481439.0
2022.0,CA,Southeast Kern River Cogen,Industrial CHP,WECC California,06,029,Kern,35.4206,-118.9644,3.0,3.0,GAS,0.3221,30.8,0.796494797535037,501162.4,0.592,0.441068,477480.641,477480.641,86905.999,27906.131,27934.974,642.214,642.878,116.889,117.01,5494.219511,0.0,0.0,86906.0
2022.0,CA,Spreckels Sugar Company,Industrial CHP,WECC Southwest,06,025,Imperial,32.911111,-115.568056,1.0,1.0,GAS,0.27032,8.9,0.882800822601885,819504.0,0.088,0.104769,117409.361,117409.361,21075.19,6861.935,6869.027,651.186,651.859,116.889,117.01,5570.975231,0.0,0.0,21075.19
2022.0,CA,Springs Generating Station,Electric Utility,WECC California,06,065,Riverside,33.9308,-117.2933,4.0,4.0,GAS,0.00415,40.0,1.0,,,,20452.0,20452.0,1454.0,1195.308,1196.543,1644.165,1645.864,116.889,117.01,14066.024759,0.0,0.0,1454.0
2022.0,CA,SRI International Cogen Project,Commercial CHP,WECC California,06,081,San Mateo,37.455314,-122.172797,1.0,1.0,GAS,0.53676,6.0,0.438736681887367,217554.4,0.443,0.371117,168194.686,168194.686,28212.0,9830.059,9840.219,696.871,697.591,116.889,117.01,5961.813637,0.0,0.0,28212.0
2022.0,CA,Stanton Energy Reliability Center,IPP Non-CHP,WECC California,06,059,Orange,33.806801,-117.985758,2.0,4.0,GAS,0.00081,161.0,1.0,,,,24859.133,24859.133,1145.0,1477.021,1478.542,2579.949,2582.606,118.831,118.954,21711.033188,0.0,0.0,2113.0
2022.0,CA,Starbucks - Evolution Fresh,IPP Non-CHP,WECC California,06,071,San Bernardino,34.093684,-117.551044,1.0,1.0,GAS,0.49325,1.1,0.511242562612426,,,,,37719.0,4753.0,,,,,,,,0.0,0.0,4753.0
2022.0,CA,Sunnyvale City of WPCP,Electric Utility,WECC California,06,085,Santa Clara,37.4194,-122.0153,2.0,2.0,GAS,0.60317,1.6,0.328053652968036,14321.6,2.015,0.728721,85530.017,85530.017,8454.0,1869.136,1872.919,442.19,443.085,43.707,43.796,10117.106324,0.0,0.0,3582.479
2022.0,CA,Sunrise Power Company,IPP Non-CHP,WECC California,06,029,Kern,35.2097,-119.585,2.0,3.0,GAS,0.46935,685.2,0.551082198000606,,,,19679548.619,19679548.619,2817208.0,1169529.604,1170737.387,830.276,831.133,118.857,118.98,6985.47946,0.0,0.0,2817208.0
2022.0,CA,SunSelect1,Industrial CHP,WECC California,06,029,Kern,35.096709,-118.602184,2.0,2.0,GAS,,6.6,,,,,,,,,,,,,,,,,
2022.0,CA,Sycamore Cogeneration,IPP CHP,WECC California,06,029,Kern,35.452577,-118.985313,4.0,4.0,GAS,0.17458,300.0,1.0,2223676.0,0.704,0.484252,2750821.685,2750821.685,458808.0,160770.478,160936.646,700.818,701.542,116.889,117.01,5995.583523,0.0,0.0,458808.0
2022.0,CA,Taft 26C Cogen,Industrial CHP,WECC California,06,029,Kern,35.1133,-119.4706,4.0,4.0,GAS,0.60168,12.4,0.33053161977709,582915.2,0.383,0.337847,336788.883,336788.883,65357.0,19683.467,19703.812,602.337,602.959,116.889,117.01,5153.065208,0.0,0.0,65357.0
2022.0,CA,Taylor Farms - Schilling Place,IPP Non-CHP,WECC California,06,053,Monterey,36.65388,-121.62369,1.0,1.0,GAS,0.80982,1.0,0.0,,,,,51867.0,7094.0,,,,,,,,0.0,0.0,7094.0
2022.0,CA,Taylor Farms Salinas,IPP Non-CHP,WECC California,06,053,Monterey,36.6575,-121.623333,1.0,1.0,GAS,0.19697,1.1,1.0,,,,,134365.0,1898.0,,,,,,,,0.0,0.0,1898.0
2022.0,CA,Thomas M Knott Cogen Facility,Industrial Non-CHP,WECC California,06,079,San Luis Obispo,35.184444,-120.618333,1.0,1.0,GAS,,1.4,,,,,,,,,,,,,,,,,
2022.0,CA,THUMS,Industrial Non-CHP,WECC California,06,037,Los Angeles,33.7684,-118.2141,1.0,1.0,GAS,0.34355,57.4,0.760743984641412,,,,1916813.0,1916813.0,172747.0,112027.233,112143.021,1297.009,1298.35,116.889,117.01,11096.071133,0.0,0.0,172747.0
2022.0,CA,TLR000 Hansen Fuel Cell,IPP Non-CHP,WECC California,06,053,Monterey,36.65676,-121.62428,3.0,3.0,GAS,0.72279,3.0,0.128678335870116,,,,,135708.0,18995.0,,,,,,,,0.0,0.0,18995.0
2022.0,CA,Tracy 210,Industrial Non-CHP,WECC California,06,077,San Joaquin,37.72201,-121.53097,1.0,1.0,GAS,0.79654,2.6,0.00576630371150899,,,,,139652.0,18142.0,,,,,,,,0.0,0.0,18142.0
2022.0,CA,Tracy Combined Cycle Power Plant,IPP Non-CHP,WECC California,06,077,San Joaquin,37.7107,-121.4906,2.0,3.0,GAS,0.1259,336.1,1.0,,,,3126791.056,3126791.056,370678.0,185821.34,186008.093,1002.602,1003.61,118.858,118.977,8435.329467,0.0,0.0,370678.0
2022.0,CA,Transamerica Pyramid,Commercial CHP,WECC California,06,075,San Francisco,37.795556,-122.402778,2.0,2.0,GAS,0.16005,1.0,1.0,142952.0,0.033,0.042724,7948.766,7948.766,1402.0,464.562,465.042,662.713,663.398,116.889,117.01,5669.5908230000005,0.0,0.0,1402.0
2022.0,CA,UCI Facilities Management Central Plant,Commercial CHP,WECC California,06,059,Orange,33.6481,-117.8467,2.0,2.0,GAS,0.61899,19.0,0.301690298806377,572665.6,0.614,0.45015,569474.41,569474.41,103024.0,33282.664,33317.064,646.115,646.783,116.889,117.01,5527.589789,0.0,0.0,103024.0
2022.0,CA,UCI Fuel Cell,IPP CHP,WECC California,06,059,Orange,33.788,-117.8901,1.0,1.0,GAS,0.56115,1.4,0.398075668623614,13285.6,1.768,0.702139,,62703.0,6882.0,,,,,,,,0.0,0.0,6882.0
2022.0,CA,UCLA So Campus Cogen Project,Commercial CHP,WECC California,06,037,Los Angeles,34.0692,-118.4439,4.0,3.0,GAS,0.66802,43.0,0.219970089554352,2024093.6,0.424,0.361318,1339974.899,1339974.899,251629.0,78314.202,78395.145,622.458,623.101,116.889,117.01,5325.200589,0.0,0.0,251629.0
2022.0,CA,Univ of Calif Santa Cruz Cogeneration,Commercial CHP,WECC California,06,087,Santa Cruz,36.9997,-122.0622,1.0,1.0,GAS,0.86742,4.4,0.0,122408.8,0.932,0.554157,203802.843,203802.843,33434.0,11911.161,11923.472,712.518,713.254,116.889,117.01,6095.676346,0.0,0.0,33434.0
2022.0,CA,Univ of San Francisco Cogen,Commercial CHP,WECC California,06,075,San Francisco,37.77656,-122.451878,1.0,1.0,GAS,0.0,1.5,,0.0,,1.0,,,0.0,,,,,,,,0.0,0.0,0.0
2022.0,CA,University of California San Diego Hybrid,Commercial CHP,WECC California,06,073,San Diego,32.8747,-117.2392,5.0,4.0,GAS,0.71347,35.5,0.144216133942161,867111.2,0.873,0.537982,1355061.557,1355061.557,221875.0,79195.934,79277.789,713.879,714.617,116.889,117.01,6107.319694,0.0,0.0,222000.0
2022.0,CA,University of San Diego,IPP Non-CHP,WECC California,06,073,San Diego,32.771701,-117.191589,1.0,1.0,GAS,0.79817,1.0,0.00304414003044129,,,,,50971.0,6992.0,,,,,,,,0.0,0.0,6992.0
2022.0,CA,US Borax,Industrial CHP,WECC California,06,029,Kern,35.0329,-117.701,1.0,1.0,GAS,0.71788,48.2,0.136866304148746,2335194.4,0.443,0.37134,1607953.091,1607953.091,303112.0,93976.061,94073.192,620.075,620.716,116.889,117.01,5304.815021,0.0,0.0,303112.0
2022.0,CA,Valero Refinery Cogeneration Unit 1,Industrial CHP,WECC California,06,095,Solano,38.0736,-122.1411,1.0,1.0,GAS,0.72301,49.9,0.128316755276153,1628956.0,0.662,0.468906,1651021.713,1651021.713,316045.0,96493.187,96592.907,610.629,611.26,116.889,117.01,5224.00838,0.0,0.0,278586.48
2022.0,CA,Valero Wilmington Cogeneration Plant,Industrial CHP,WECC California,06,037,Los Angeles,33.778655,-118.23853,1.0,1.0,GAS,0.75446,33.5,0.0758933642290829,0.0,,1.0,1875152.0,1875152.0,221405.0,109592.375,109705.647,989.972,990.995,116.889,117.01,8469.329961,0.0,0.0,221405.0
2022.0,CA,Valley Generating Station,Electric Utility,WECC California,06,037,Los Angeles,34.244991,-118.391327,3.0,4.0,GAS,0.34311,690.5,0.761490746894415,,,,14898151.254,14898151.254,2075370.0,869217.038,870120.683,837.65,838.521,116.688,116.809,7178.551899,0.0,0.0,2075370.0
2022.0,CA,Verizon-Torrance,IPP Non-CHP,WECC California,06,037,Los Angeles,33.850556,-118.304167,1.0,1.0,GAS,0.40194,1.0,0.663432267884323,,,,,29956.0,3521.0,,,,,,,,0.0,0.0,3521.0
